"title","replacement_cost","replacement_cost_standard"
"Rules Human",19.99,"Medium"
"Run Pacific",25.99,"High"
"Runaway Tenenbaums",17.99,"Medium"
"Runner Madigan",27.99,"High"
"Rush Goodfellas",20.99,"Medium"
"Rushmore Mermaid",17.99,"Medium"
"Sabrina Midnight",11.99,"Low"
"Saddle Antitrust",10.99,"Low"
"Sagebrush Clueless",28.99,"High"
"Saints Bride",11.99,"Low"
"Salute Apollo",29.99,"High"
"Samurai Lion",21.99,"Medium"
"Santa Paris",23.99,"Medium"
"Sassy Packer",29.99,"High"
"Satisfaction Confidential",26.99,"High"
"Saturday Lambs",28.99,"High"
"Saturn Name",18.99,"Medium"
"Savannah Town",25.99,"High"
"Scalawag Duck",13.99,"Low"
"Scarface Bang",11.99,"Low"
"School Jacket",21.99,"Medium"
"Scissorhands Slums",13.99,"Low"
"Scorpion Apollo",23.99,"Medium"
"Sea Virgin",24.99,"High"
"Seabiscuit Punk",28.99,"High"
"Searchers Wait",22.99,"Medium"
"Seattle Expecations",18.99,"Medium"
"Secret Groundhog",11.99,"Low"
"Secretary Rouge",10.99,"Low"
"Secrets Paradise",24.99,"High"
"Sense Greek",23.99,"Medium"
"Sensibility Rear",15.99,"Low"
"Seven Swarm",15.99,"Low"
"Shakespeare Saddle",26.99,"High"
"Shane Darkness",22.99,"Medium"
"Shanghai Tycoon",20.99,"Medium"
"Shawshank Bubble",20.99,"Medium"
"Shepherd Midsummer",14.99,"Low"
"Shining Roses",12.99,"Low"
"Ship Wonderland",15.99,"Low"
"Shock Cabin",15.99,"Low"
"Shootist Superfly",22.99,"Medium"
"Show Lord",24.99,"High"
"Shrek License",15.99,"Low"
"Shrunk Divine",14.99,"Low"
"Side Ark",28.99,"High"
"Siege Madre",23.99,"Medium"
"Sierra Divide",12.99,"Low"
"Silence Kane",23.99,"Medium"
"Silverado Goldfinger",11.99,"Low"
"Simon North",26.99,"High"
"Sinners Atlantis",19.99,"Medium"
"Sister Freddy",19.99,"Medium"
"Sky Miracle",15.99,"Low"
"Slacker Liaisons",29.99,"High"
"Sleeping Suspects",13.99,"Low"
"Sleepless Monsoon",12.99,"Low"
"Sleepy Japanese",25.99,"High"
"Sleuth Orient",25.99,"High"
"Sling Luke",10.99,"Low"
"Slipper Fidelity",14.99,"Low"
"Slums Duck",21.99,"Medium"
"Smile Earring",29.99,"High"
"Smoking Barbarella",13.99,"Low"
"Smoochy Control",18.99,"Medium"
"Snatch Slipper",15.99,"Low"
"Snatchers Montezuma",14.99,"Low"
"Snowman Rollercoaster",27.99,"High"
"Soldiers Evolution",27.99,"High"
"Something Duck",17.99,"Medium"
"Song Hedwig",29.99,"High"
"Sons Interview",11.99,"Low"
"Sorority Queen",17.99,"Medium"
"Soup Wisdom",12.99,"Low"
"South Wait",21.99,"Medium"
"Spartacus Cheaper",19.99,"Medium"
"Speakeasy Date",22.99,"Medium"
"Speed Suit",19.99,"Medium"
"Spice Sorority",22.99,"Medium"
"Spiking Element",12.99,"Low"
"Spinal Rocky",12.99,"Low"
"Spirit Flintstones",23.99,"Medium"
"Spirited Casualties",20.99,"Medium"
"Splash Gump",16.99,"Medium"
"Splendor Patton",20.99,"Medium"
"Spoilers Hellfighters",26.99,"High"
"Spy Mile",13.99,"Low"
"Squad Fish",14.99,"Low"
"Stage World",19.99,"Medium"
"Stagecoach Armageddon",25.99,"High"
"Stallion Sundance",23.99,"Medium"
"Stampede Disturbing",26.99,"High"
"Star Operation",9.99,"Low"
"State Wasteland",13.99,"Low"
"Steel Santa",15.99,"Low"
"Steers Armageddon",16.99,"Medium"
"Stepmom Dream",9.99,"Low"
"Sting Personal",9.99,"Low"
"Stock Glass",10.99,"Low"
"Stone Fire",19.99,"Medium"
"Storm Happiness",28.99,"High"
"Story Side",27.99,"High"
"Straight Hours",19.99,"Medium"
"Strangelove Desire",27.99,"High"
"Stranger Strangers",12.99,"Low"
"Strangers Graffiti",22.99,"Medium"
"Streak Ridgemont",28.99,"High"
"Streetcar Intentions",11.99,"Low"
"Strictly Scarface",24.99,"High"
"Submarine Bed",21.99,"Medium"
"Sugar Wonka",20.99,"Medium"
"Suicides Silence",13.99,"Low"
"Suit Walls",12.99,"Low"
"Summer Scarface",25.99,"High"
"Sun Confessions",9.99,"Low"
"Sundance Invasion",21.99,"Medium"
"Sunrise League",19.99,"Medium"
"Sunset Racer",28.99,"High"
"Super Wyoming",10.99,"Low"
"Superfly Trip",27.99,"High"
"Suspects Quills",22.99,"Medium"
"Swarm Gold",12.99,"Low"
"Sweden Shining",19.99,"Medium"
"Sweet Brotherhood",27.99,"High"
"Sweethearts Suspects",13.99,"Low"
"Tadpole Park",13.99,"Low"
"Talented Homicide",9.99,"Low"
"Tarzan Videotape",11.99,"Low"
"Taxi Kick",23.99,"Medium"
"Teen Apollo",25.99,"High"
"Telegraph Voyage",20.99,"Medium"
"Telemark Heartbreakers",9.99,"Low"
"Temple Attraction",13.99,"Low"
"Tenenbaums Command",24.99,"High"
"Tequila Past",17.99,"Medium"
"Terminator Club",11.99,"Low"
"Texas Watch",22.99,"Medium"
"Theory Mermaid",9.99,"Low"
"Thief Pelican",28.99,"High"
"Thin Sagebrush",9.99,"Low"
"Ties Hunger",28.99,"High"
"Tights Dawn",14.99,"Low"
"Timberland Sky",13.99,"Low"
"Titanic Boondock",18.99,"Medium"
"Titans Jerk",11.99,"Low"
"Tomatoes Hellfighters",23.99,"Medium"
"Tomorrow Hustler",21.99,"Medium"
"Tootsie Pilot",10.99,"Low"
"Torque Bound",27.99,"High"
"Tourist Pelican",18.99,"Medium"
"Towers Hurricane",14.99,"Low"
"Town Ark",17.99,"Medium"
"Tracy Cider",29.99,"High"
"Trading Pinocchio",22.99,"Medium"
"Traffic Hobbit",13.99,"Low"
"Train Bunch",26.99,"High"
"Trainspotting Strangers",10.99,"Low"
"Tramp Others",27.99,"High"
"Translation Summer",10.99,"Low"
"Trap Guys",11.99,"Low"
"Treasure Command",28.99,"High"
"Treatment Jekyll",19.99,"Medium"
"Trip Newton",14.99,"Low"
"Trojan Tomorrow",9.99,"Low"
"Troopers Metal",20.99,"Medium"
"Trouble Date",13.99,"Low"
"Truman Crazy",9.99,"Low"
"Turn Star",10.99,"Low"
"Tuxedo Mile",24.99,"High"
"Twisted Pirates",23.99,"Medium"
"Tycoon Gathering",17.99,"Medium"
"Unbreakable Karate",16.99,"Medium"
"Uncut Suicides",29.99,"High"
"Undefeated Dalmations",22.99,"Medium"
"Unfaithful Kill",12.99,"Low"
"Unforgiven Zoolander",15.99,"Low"
"United Pilot",27.99,"High"
"Untouchables Sunrise",11.99,"Low"
"Uprising Uptown",16.99,"Medium"
"Uptown Young",16.99,"Medium"
"Usual Untouchables",21.99,"Medium"
"Vacation Boondock",23.99,"Medium"
"Valentine Vanishing",9.99,"Low"
"Valley Packer",21.99,"Medium"
"Vampire Whale",11.99,"Low"
"Vanilla Day",20.99,"Medium"
"Vanished Garden",17.99,"Medium"
"Vanishing Rocky",21.99,"Medium"
"Varsity Trip",14.99,"Low"
"Velvet Terminator",14.99,"Low"
"Vertigo Northwest",17.99,"Medium"
"Victory Academy",19.99,"Medium"
"Videotape Arsenic",10.99,"Low"
"Vietnam Smoochy",27.99,"High"
"Villain Desperate",27.99,"High"
"Virgin Daisy",29.99,"High"
"Virginian Pluto",22.99,"Medium"
"Virtual Spoilers",14.99,"Low"
"Vision Torque",16.99,"Medium"
"Voice Peach",22.99,"Medium"
"Volcano Texas",27.99,"High"
"Volume House",12.99,"Low"
"Voyage Legally",28.99,"High"
"Wagon Jaws",17.99,"Medium"
"Wait Cider",9.99,"Low"
"Wake Jaws",18.99,"Medium"
"Walls Artist",19.99,"Medium"
"Wanda Chamber",23.99,"Medium"
"War Notting",26.99,"High"
"Wardrobe Phantom",19.99,"Medium"
"Warlock Werewolf",10.99,"Low"
"Wars Pluto",15.99,"Low"
"Wash Heavenly",22.99,"Medium"
"Wasteland Divine",18.99,"Medium"
"Watch Tracy",12.99,"Low"
"Waterfront Deliverance",17.99,"Medium"
"Watership Frontier",28.99,"High"
"Wedding Apollo",14.99,"Low"
"Weekend Personal",26.99,"High"
"Werewolf Lola",19.99,"Medium"
"West Lion",29.99,"High"
"Westward Seabiscuit",11.99,"Low"
"Whale Bikini",11.99,"Low"
"Whisperer Giant",24.99,"High"
"Wife Turn",27.99,"High"
"Wild Apollo",24.99,"High"
"Willow Tracy",22.99,"Medium"
"Wind Phantom",12.99,"Low"
"Window Side",25.99,"High"
"Wisdom Worker",12.99,"Low"
"Witches Panic",10.99,"Low"
"Wizard Coldblooded",12.99,"Low"
"Wolves Desire",13.99,"Low"
"Women Dorado",23.99,"Medium"
"Won Dares",18.99,"Medium"
"Wonderful Drop",20.99,"Medium"
"Wonderland Christmas",19.99,"Medium"
"Wonka Sea",24.99,"High"
"Words Hunter",13.99,"Low"
"Worker Tarzan",26.99,"High"
"Working Microcosmos",22.99,"Medium"
"World Leathernecks",13.99,"Low"
"Worst Banger",26.99,"High"
"Wrath Mile",17.99,"Medium"
"Wrong Behavior",10.99,"Low"
"Wyoming Storm",29.99,"High"
"Yentl Idaho",11.99,"Low"
"Young Language",9.99,"Low"
"Youth Kick",14.99,"Low"
"Zhivago Core",10.99,"Low"
"Zoolander Fiction",28.99,"High"
"Zorro Ark",18.99,"Medium"
